T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.4
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3
4,Afghanistan,2010,Public expenditure on education (% of GDP),3.5
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.6
4,Afghanistan,2015,Public expenditure on education (% of GDP),3.3
4,Afghanistan,2019,Basic access to computers by level of education: Primary,9
4,Afghanistan,2019,Basic access to computers by level of education: Lower secondary,10
4,Afghanistan,2019,Basic access to computers by level of education: Upper secondary,23
4,Afghanistan,2019,Public expenditure on education (% of GDP),3.2
8,Albania,2005,Public expenditure on education (% of GDP),3.3
8,Albania,2007,Public expenditure on education (% of GDP),3.3
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.5
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.1
8,Albania,2015,Public expenditure on education (% of GDP),3.4
8,Albania,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
8,Albania,2019,All staff compensation as % of total expenditure in public institutions (%),72.6
8,Albania,2019,Capital expenditure as % of total expenditure in public institutions (%),13.2
8,Albania,2019,Basic access to computers by level of education: Primary,49
8,Albania,2019,Basic access to computers by level of education: Lower secondary,83
8,Albania,2019,Basic access to computers by level of education: Upper secondary,82
8,Albania,2019,Public expenditure on education (% of GDP),3.9
8,Albania,2020,Basic access to computers by level of education: Primary,54.3
8,Albania,2020,Basic access to computers by level of education: Lower secondary,100
8,Albania,2020,Basic access to computers by level of education: Upper secondary,100
12,Algeria,2008,Public expenditure on education (% of GDP),4.3
12,Algeria,2019,Public expenditure on education (% of GDP),6.1
12,Algeria,2020,Basic access to computers by level of education: Lower secondary,87
12,Algeria,2020,Basic access to computers by level of education: Upper secondary,88
16,American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2
16,American Samoa,2006,Public expenditure on education (% of GDP),14.7
20,Andorra,2005,Public expenditure on education (% of GDP),1.6
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.7
20,Andorra,2010,Public expenditure on education (% of GDP),3
20,Andorra,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),59.4
20,Andorra,2013,All staff compensation as % of total expenditure in public institutions (%),40
20,Andorra,2013,Capital expenditure as % of total expenditure in public institutions (%),0.6
20,Andorra,2013,Public expenditure on education (% of GDP),2.5
20,Andorra,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.6
20,Andorra,2015,Capital expenditure as % of total expenditure in public institutions (%),1.3
20,Andorra,2015,Public expenditure on education (% of GDP),3.3
20,Andorra,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),62.7
20,Andorra,2019,All staff compensation as % of total expenditure in public institutions (%),36.5
20,Andorra,2019,Capital expenditure as % of total expenditure in public institutions (%),0.8
20,Andorra,2019,Basic access to computers by level of education: Primary,100
20,Andorra,2019,Basic access to computers by level of education: Lower secondary,100
20,Andorra,2019,Basic access to computers by level of education: Upper secondary,100
20,Andorra,2019,Public expenditure on education (% of GDP),3.2
20,Andorra,2020,Basic access to computers by level of education: Primary,100
20,Andorra,2020,Basic access to computers by level of education: Lower secondary,100
20,Andorra,2020,Basic access to computers by level of education: Upper secondary,100
24,Angola,2005,Public expenditure on education (% of GDP),2.1
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3
24,Angola,2006,Public expenditure on education (% of GDP),2.3
24,Angola,2010,Public expenditure on education (% of GDP),3.4
24,Angola,2015,Public expenditure on education (% of GDP),3.5
24,Angola,2016,Basic access to computers by level of education: Primary,7
24,Angola,2016,Basic access to computers by level of education: Lower secondary,25
24,Angola,2016,Basic access to computers by level of education: Upper secondary,49
24,Angola,2016,Public expenditure on education (% of GDP),2.8
24,Angola,2019,Public expenditure on education (% of GDP),1.8
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7
660,Anguilla,2005,All staff compensation as % of total expenditure in public institutions (%),80.9
660,Anguilla,2005,Public expenditure on education (% of GDP),3
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.4
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8
660,Anguilla,2010,Basic access to computers by level of education: Lower secondary,100
660,Anguilla,2010,Basic access to computers by level of education: Upper secondary,100
660,Anguilla,2015,Public expenditure on education (% of GDP),3
660,Anguilla,2018,Public expenditure on education (% of GDP),3.6
660,Anguilla,2019,Basic access to computers by level of education: Primary,100
660,Anguilla,2019,Basic access to computers by level of education: Lower secondary,100
660,Anguilla,2019,Basic access to computers by level of education: Upper secondary,100
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.4
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.2
28,Antigua and Barbuda,2009,Public expenditure on education (% of GDP),2.5
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Primary,90
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Lower secondary,100
28,Antigua and Barbuda,2018,Basic access to computers by level of education: Upper secondary,100
28,Antigua and Barbuda,2018,Public expenditure on education (% of GDP),2.6
28,Antigua and Barbuda,2020,Public expenditure on education (% of GDP),3.3
32,Argentina,2005,Public expenditure on education (% of GDP),3.9
32,Argentina,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.4
32,Argentina,2009,All staff compensation as % of total expenditure in public institutions (%),86.6
32,Argentina,2009,Capital expenditure as % of total expenditure in public institutions (%),4
32,Argentina,2009,Basic access to computers by level of education: Primary,37.8
32,Argentina,2009,Basic access to computers by level of education: Lower secondary,54
32,Argentina,2009,Basic access to computers by level of education: Upper secondary,77
32,Argentina,2009,Public expenditure on education (% of GDP),5.5
32,Argentina,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
32,Argentina,2010,All staff compensation as % of total expenditure in public institutions (%),85.9
32,Argentina,2010,Capital expenditure as % of total expenditure in public institutions (%),4.2
32,Argentina,2010,Public expenditure on education (% of GDP),5
32,Argentina,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.2
32,Argentina,2015,All staff compensation as % of total expenditure in public institutions (%),82
32,Argentina,2015,Capital expenditure as % of total expenditure in public institutions (%),10.8
32,Argentina,2015,Basic access to computers by level of education: Primary,58.7
32,Argentina,2015,Basic access to computers by level of education: Lower secondary,72
32,Argentina,2015,Basic access to computers by level of education: Upper secondary,75
32,Argentina,2015,Public expenditure on education (% of GDP),5.8
32,Argentina,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.6
32,Argentina,2019,All staff compensation as % of total expenditure in public institutions (%),81.6
32,Argentina,2019,Capital expenditure as % of total expenditure in public institutions (%),1.8
32,Argentina,2019,Basic access to computers by level of education: Primary,66.3
32,Argentina,2019,Basic access to computers by level of education: Lower secondary,55
32,Argentina,2019,Basic access to computers by level of education: Upper secondary,59
32,Argentina,2019,Public expenditure on education (% of GDP),4.8
51,Armenia,2005,Public expenditure on education (% of GDP),2.7
51,Armenia,2010,Public expenditure on education (% of GDP),3.2
51,Armenia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.5
51,Armenia,2014,All staff compensation as % of total expenditure in public institutions (%),65.5
51,Armenia,2014,Capital expenditure as % of total expenditure in public institutions (%),26
51,Armenia,2014,Public expenditure on education (% of GDP),2.2
51,Armenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6
51,Armenia,2015,All staff compensation as % of total expenditure in public institutions (%),88.5
51,Armenia,2015,Public expenditure on education (% of GDP),2.8
51,Armenia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.3
51,Armenia,2020,All staff compensation as % of total expenditure in public institutions (%),83.5
51,Armenia,2020,Capital expenditure as % of total expenditure in public institutions (%),9.2
51,Armenia,2020,Basic access to computers by level of education: Primary,100
51,Armenia,2020,Basic access to computers by level of education: Lower secondary,100
51,Armenia,2020,Basic access to computers by level of education: Upper secondary,100
51,Armenia,2020,Public expenditure on education (% of GDP),2.7
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.7
533,Aruba,2005,Capital expenditure as % of total expenditure in public institutions (%),3.2
533,Aruba,2005,Public expenditure on education (% of GDP),4.7
533,Aruba,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.7
533,Aruba,2009,All staff compensation as % of total expenditure in public institutions (%),87
533,Aruba,2009,Public expenditure on education (% of GDP),5.9
533,Aruba,2010,Basic access to computers by level of education: Primary,100
533,Aruba,2010,Basic access to computers by level of education: Lower secondary,100
533,Aruba,2010,Basic access to computers by level of education: Upper secondary,100
533,Aruba,2010,Public expenditure on education (% of GDP),6.9
533,Aruba,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.9
533,Aruba,2015,All staff compensation as % of total expenditure in public institutions (%),93.1
533,Aruba,2015,Public expenditure on education (% of GDP),5.9
533,Aruba,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7
533,Aruba,2016,All staff compensation as % of total expenditure in public institutions (%),93
533,Aruba,2016,Public expenditure on education (% of GDP),5.5
36,Australia,2005,Basic access to computers by level of education: Primary,100
36,Australia,2005,Basic access to computers by level of education: Lower secondary,100
36,Australia,2005,Basic access to computers by level of education: Upper secondary,100
36,Australia,2005,Public expenditure on education (% of GDP),4.9
36,Australia,2010,Basic access to computers by level of education: Primary,100
36,Australia,2010,Basic access to computers by level of education: Lower secondary,100
36,Australia,2010,Basic access to computers by level of education: Upper secondary,100
36,Australia,2010,Public expenditure on education (% of GDP),5.6
36,Australia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1
36,Australia,2015,All staff compensation as % of total expenditure in public institutions (%),65.2
36,Australia,2015,Capital expenditure as % of total expenditure in public institutions (%),7.7
36,Australia,2015,Basic access to computers by level of education: Primary,100
36,Australia,2015,Basic access to computers by level of education: Lower secondary,100
36,Australia,2015,Basic access to computers by level of education: Upper secondary,100
36,Australia,2015,Public expenditure on education (% of GDP),5.3
36,Australia,2016,Basic access to computers by level of education: Primary,100
36,Australia,2016,Basic access to computers by level of education: Lower secondary,100
36,Australia,2016,Basic access to computers by level of education: Upper secondary,100
36,Australia,2016,Public expenditure on education (% of GDP),5.3
36,Australia,2018,Public expenditure on education (% of GDP),5.1
40,Austria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.2
40,Austria,2005,All staff compensation as % of total expenditure in public institutions (%),72.1
40,Austria,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7
40,Austria,2005,Public expenditure on education (% of GDP),5.2
40,Austria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.9
40,Austria,2010,All staff compensation as % of total expenditure in public institutions (%),70.2
40,Austria,2010,Capital expenditure as % of total expenditure in public institutions (%),4.9
40,Austria,2010,Public expenditure on education (% of GDP),5.7
40,Austria,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.2
40,Austria,2015,All staff compensation as % of total expenditure in public institutions (%),68.3
40,Austria,2015,Capital expenditure as % of total expenditure in public institutions (%),5.5
40,Austria,2015,Public expenditure on education (% of GDP),5.5
40,Austria,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.3
40,Austria,2018,All staff compensation as % of total expenditure in public institutions (%),67.6
40,Austria,2018,Capital expenditure as % of total expenditure in public institutions (%),7.1
40,Austria,2018,Public expenditure on education (% of GDP),5.2
31,Azerbaijan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6
31,Azerbaijan,2005,All staff compensation as % of total expenditure in public institutions (%),66.8
31,Azerbaijan,2005,Capital expenditure as % of total expenditure in public institutions (%),1.6
31,Azerbaijan,2005,Public expenditure on education (% of GDP),3
31,Azerbaijan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.6
31,Azerbaijan,2010,All staff compensation as % of total expenditure in public institutions (%),64.8
31,Azerbaijan,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5
31,Azerbaijan,2010,Public expenditure on education (% of GDP),2.8
31,Azerbaijan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.9
31,Azerbaijan,2015,All staff compensation as % of total expenditure in public institutions (%),52
31,Azerbaijan,2015,Capital expenditure as % of total expenditure in public institutions (%),2.2
31,Azerbaijan,2015,Public expenditure on education (% of GDP),3
31,Azerbaijan,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.5
31,Azerbaijan,2019,All staff compensation as % of total expenditure in public institutions (%),69.7
31,Azerbaijan,2019,Capital expenditure as % of total expenditure in public institutions (%),1.9
31,Azerbaijan,2019,Basic access to computers by level of education: Primary,94.9
31,Azerbaijan,2019,Basic access to computers by level of education: Lower secondary,97
31,Azerbaijan,2019,Basic access to computers by level of education: Upper secondary,98
31,Azerbaijan,2019,Public expenditure on education (% of GDP),2.7
31,Azerbaijan,2020,Basic access to computers by level of education: Primary,96.5
31,Azerbaijan,2020,Basic access to computers by level of education: Lower secondary,98
31,Azerbaijan,2020,Basic access to computers by level of education: Upper secondary,99
44,Bahamas,2000,Public expenditure on education (% of GDP),2.2
44,Bahamas,2015,Public expenditure on education (% of GDP),2.3
44,Bahamas,2020,Public expenditure on education (% of GDP),2.5
48,Bahrain,2008,Public expenditure on education (% of GDP),2.5
48,Bahrain,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.8
48,Bahrain,2012,All staff compensation as % of total expenditure in public institutions (%),82.3
48,Bahrain,2012,Capital expenditure as % of total expenditure in public institutions (%),3.8
48,Bahrain,2012,Public expenditure on education (% of GDP),2.6
48,Bahrain,2015,Public expenditure on education (% of GDP),2.7
48,Bahrain,2017,Basic access to computers by level of education: Primary,100
48,Bahrain,2017,Basic access to computers by level of education: Lower secondary,100
48,Bahrain,2017,Basic access to computers by level of education: Upper secondary,100
48,Bahrain,2017,Public expenditure on education (% of GDP),2.3
48,Bahrain,2020,Basic access to computers by level of education: Primary,100
48,Bahrain,2020,Basic access to computers by level of education: Lower secondary,100
48,Bahrain,2020,Basic access to computers by level of education: Upper secondary,100
50,Bangladesh,2004,Public expenditure on education (% of GDP),1.9
50,Bangladesh,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2
50,Bangladesh,2009,All staff compensation as % of total expenditure in public institutions (%),59.8
50,Bangladesh,2009,Capital expenditure as % of total expenditure in public institutions (%),19
50,Bangladesh,2009,Public expenditure on education (% of GDP),1.9
50,Bangladesh,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.3
50,Bangladesh,2012,All staff compensation as % of total expenditure in public institutions (%),95.2
50,Bangladesh,2012,Capital expenditure as % of total expenditure in public institutions (%),0.5
50,Bangladesh,2012,Public expenditure on education (% of GDP),2.2
50,Bangladesh,2013,Public expenditure on education (% of GDP),2
50,Bangladesh,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16
50,Bangladesh,2019,All staff compensation as % of total expenditure in public institutions (%),55
50,Bangladesh,2019,Capital expenditure as % of total expenditure in public institutions (%),29
50,Bangladesh,2019,Public expenditure on education (% of GDP),1.3
50,Bangladesh,2020,Basic access to computers by level of education: Primary,41.7
50,Bangladesh,2020,Basic access to computers by level of education: Lower secondary,78
50,Bangladesh,2020,Basic access to computers by level of education: Upper secondary,79
52,Barbados,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.2
52,Barbados,2005,All staff compensation as % of total expenditure in public institutions (%),79.9
52,Barbados,2005,Capital expenditure as % of total expenditure in public institutions (%),4
52,Barbados,2005,Public expenditure on education (% of GDP),5.7
52,Barbados,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.4
52,Barbados,2010,All staff compensation as % of total expenditure in public institutions (%),83.4
52,Barbados,2010,Capital expenditure as % of total expenditure in public institutions (%),6.2
52,Barbados,2010,Public expenditure on education (% of GDP),6.1
52,Barbados,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),47.8
52,Barbados,2014,All staff compensation as % of total expenditure in public institutions (%),48.6
52,Barbados,2014,Capital expenditure as % of total expenditure in public institutions (%),3.6
52,Barbados,2014,Public expenditure on education (% of GDP),6.1
52,Barbados,2015,Public expenditure on education (% of GDP),5.4
52,Barbados,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),44.9
52,Barbados,2020,All staff compensation as % of total expenditure in public institutions (%),52.8
52,Barbados,2020,Capital expenditure as % of total expenditure in public institutions (%),2.2
52,Barbados,2020,Public expenditure on education (% of GDP),4.3
112,Belarus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.1
112,Belarus,2005,All staff compensation as % of total expenditure in public institutions (%),65.2
112,Belarus,2005,Capital expenditure as % of total expenditure in public institutions (%),4.8
112,Belarus,2005,Public expenditure on education (% of GDP),5.9
112,Belarus,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.5
112,Belarus,2010,All staff compensation as % of total expenditure in public institutions (%),62.6
112,Belarus,2010,Capital expenditure as % of total expenditure in public institutions (%),10.9
112,Belarus,2010,Public expenditure on education (% of GDP),5.2
112,Belarus,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.4
112,Belarus,2015,All staff compensation as % of total expenditure in public institutions (%),68.9
112,Belarus,2015,Capital expenditure as % of total expenditure in public institutions (%),4.8
112,Belarus,2015,Public expenditure on education (% of GDP),4.8
112,Belarus,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
112,Belarus,2020,All staff compensation as % of total expenditure in public institutions (%),70.7
112,Belarus,2020,Capital expenditure as % of total expenditure in public institutions (%),8.4
112,Belarus,2020,Basic access to computers by level of education: Primary,100
112,Belarus,2020,Basic access to computers by level of education: Lower secondary,100
112,Belarus,2020,Basic access to computers by level of education: Upper secondary,100
112,Belarus,2020,Public expenditure on education (% of GDP),5
56,Belgium,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.7
56,Belgium,2005,All staff compensation as % of total expenditure in public institutions (%),85.5
56,Belgium,2005,Capital expenditure as % of total expenditure in public institutions (%),2.8
56,Belgium,2005,Public expenditure on education (% of GDP),5.8
56,Belgium,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.9
56,Belgium,2010,All staff compensation as % of total expenditure in public institutions (%),84.3
56,Belgium,2010,Capital expenditure as % of total expenditure in public institutions (%),3.8
56,Belgium,2010,Basic access to computers by level of education: Primary,100
56,Belgium,2010,Basic access to computers by level of education: Lower secondary,100
56,Belgium,2010,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2010,Public expenditure on education (% of GDP),6.4
56,Belgium,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.9
56,Belgium,2015,All staff compensation as % of total expenditure in public institutions (%),81
56,Belgium,2015,Capital expenditure as % of total expenditure in public institutions (%),5
56,Belgium,2015,Basic access to computers by level of education: Primary,100
56,Belgium,2015,Basic access to computers by level of education: Lower secondary,100
56,Belgium,2015,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2015,Public expenditure on education (% of GDP),6.5
56,Belgium,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.8
56,Belgium,2018,All staff compensation as % of total expenditure in public institutions (%),81.7
56,Belgium,2018,Capital expenditure as % of total expenditure in public institutions (%),5.4
56,Belgium,2018,Basic access to computers by level of education: Primary,100
56,Belgium,2018,Basic access to computers by level of education: Lower secondary,100
56,Belgium,2018,Basic access to computers by level of education: Upper secondary,100
56,Belgium,2018,Public expenditure on education (% of GDP),6.4
84,Belize,2004,Public expenditure on education (% of GDP),5.3
84,Belize,2010,Public expenditure on education (% of GDP),6.7
84,Belize,2015,Public expenditure on education (% of GDP),6.9
84,Belize,2020,Public expenditure on education (% of GDP),7.9
204,Benin,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.3
204,Benin,2005,All staff compensation as % of total expenditure in public institutions (%),73
204,Benin,2005,Capital expenditure as % of total expenditure in public institutions (%),13.7
204,Benin,2005,Public expenditure on education (% of GDP),2.7
204,Benin,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.2
204,Benin,2010,All staff compensation as % of total expenditure in public institutions (%),85.7
204,Benin,2010,Capital expenditure as % of total expenditure in public institutions (%),8.2
204,Benin,2010,Public expenditure on education (% of GDP),3.7
204,Benin,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.2
204,Benin,2015,All staff compensation as % of total expenditure in public institutions (%),69.5
204,Benin,2015,Capital expenditure as % of total expenditure in public institutions (%),8.3
204,Benin,2015,Public expenditure on education (% of GDP),3.2
204,Benin,2019,Public expenditure on education (% of GDP),3
204,Benin,2020,Basic access to computers by level of education: Lower secondary,29
60,Bermuda,2005,Public expenditure on education (% of GDP),2
60,Bermuda,2010,Public expenditure on education (% of GDP),2.3
60,Bermuda,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.6
60,Bermuda,2015,All staff compensation as % of total expenditure in public institutions (%),79.9
60,Bermuda,2015,Capital expenditure as % of total expenditure in public institutions (%),1.5
60,Bermuda,2015,Public expenditure on education (% of GDP),1.5
60,Bermuda,2016,Basic access to computers by level of education: Primary,100
60,Bermuda,2016,Basic access to computers by level of education: Lower secondary,100
60,Bermuda,2016,Basic access to computers by level of education: Upper secondary,100
60,Bermuda,2017,Public expenditure on education (% of GDP),1.3
64,Bhutan,2005,Public expenditure on education (% of GDP),7.3
64,Bhutan,2010,Public expenditure on education (% of GDP),4.1
64,Bhutan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),50.1
64,Bhutan,2015,All staff compensation as % of total expenditure in public institutions (%),35.9
64,Bhutan,2015,Capital expenditure as % of total expenditure in public institutions (%),14
64,Bhutan,2015,Basic access to computers by level of education: Primary,14.5
64,Bhutan,2015,Basic access to computers by level of education: Upper secondary,86
64,Bhutan,2015,Public expenditure on education (% of GDP),7.6
64,Bhutan,2018,Basic access to computers by level of education: Lower secondary,98
64,Bhutan,2018,Basic access to computers by level of education: Upper secondary,98
64,Bhutan,2018,Public expenditure on education (% of GDP),6.9
64,Bhutan,2020,Basic access to computers by level of education: Primary,20.6
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Primary,14.4
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Lower secondary,23
68,Bolivia (Plurin. State of),2013,Basic access to computers by level of education: Upper secondary,28
72,Botswana,2005,Public expenditure on education (% of GDP),10.7
72,Botswana,2009,Capital expenditure as % of total expenditure in public institutions (%),9.8
72,Botswana,2009,Public expenditure on education (% of GDP),9.6
72,Botswana,2012,Basic access to computers by level of education: Lower secondary,100
72,Botswana,2012,Basic access to computers by level of education: Upper secondary,100
72,Botswana,2015,Public expenditure on education (% of GDP),7.8
72,Botswana,2019,Public expenditure on education (% of GDP),6.9
76,Brazil,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
76,Brazil,2005,All staff compensation as % of total expenditure in public institutions (%),70.3
76,Brazil,2005,Capital expenditure as % of total expenditure in public institutions (%),6.1
76,Brazil,2005,Public expenditure on education (% of GDP),4.5
76,Brazil,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.3
76,Brazil,2010,All staff compensation as % of total expenditure in public institutions (%),68.5
76,Brazil,2010,Capital expenditure as % of total expenditure in public institutions (%),7.2
76,Brazil,2010,Basic access to computers by level of education: Primary,40.5
76,Brazil,2010,Basic access to computers by level of education: Lower secondary,72
76,Brazil,2010,Basic access to computers by level of education: Upper secondary,90
76,Brazil,2010,Public expenditure on education (% of GDP),5.6
76,Brazil,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3
76,Brazil,2015,All staff compensation as % of total expenditure in public institutions (%),74.7
76,Brazil,2015,Capital expenditure as % of total expenditure in public institutions (%),3.9
76,Brazil,2015,Public expenditure on education (% of GDP),6.2
76,Brazil,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.9
76,Brazil,2017,All staff compensation as % of total expenditure in public institutions (%),74.6
76,Brazil,2017,Capital expenditure as % of total expenditure in public institutions (%),2.5
76,Brazil,2017,Basic access to computers by level of education: Primary,53.5
76,Brazil,2017,Basic access to computers by level of education: Lower secondary,73
76,Brazil,2017,Basic access to computers by level of education: Upper secondary,86
76,Brazil,2017,Public expenditure on education (% of GDP),6.3
76,Brazil,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.5
76,Brazil,2018,All staff compensation as % of total expenditure in public institutions (%),73.4
76,Brazil,2018,Capital expenditure as % of total expenditure in public institutions (%),3.1
76,Brazil,2018,Public expenditure on education (% of GDP),6.1
92,British Virgin Islands,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.7
92,British Virgin Islands,2005,All staff compensation as % of total expenditure in public institutions (%),99.3
92,British Virgin Islands,2005,Public expenditure on education (% of GDP),3
92,British Virgin Islands,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.1
92,British Virgin Islands,2007,All staff compensation as % of total expenditure in public institutions (%),77.8
92,British Virgin Islands,2007,Capital expenditure as % of total expenditure in public institutions (%),7.1
92,British Virgin Islands,2007,Public expenditure on education (% of GDP),3.2
92,British Virgin Islands,2010,Basic access to computers by level of education: Primary,100
92,British Virgin Islands,2010,Basic access to computers by level of education: Lower secondary,100
92,British Virgin Islands,2010,Basic access to computers by level of education: Upper secondary,100
92,British Virgin Islands,2010,Public expenditure on education (% of GDP),3.8
92,British Virgin Islands,2015,Public expenditure on education (% of GDP),5.1
92,British Virgin Islands,2019,Basic access to computers by level of education: Primary,100
92,British Virgin Islands,2019,Basic access to computers by level of education: Lower secondary,86
92,British Virgin Islands,2019,Basic access to computers by level of education: Upper secondary,88
92,British Virgin Islands,2019,Public expenditure on education (% of GDP),2.9
92,British Virgin Islands,2020,Basic access to computers by level of education: Primary,100
92,British Virgin Islands,2020,Basic access to computers by level of education: Lower secondary,86
92,British Virgin Islands,2020,Basic access to computers by level of education: Upper secondary,88
96,Brunei Darussalam,2000,Public expenditure on education (% of GDP),3.7
96,Brunei Darussalam,2010,Public expenditure on education (% of GDP),2
96,Brunei Darussalam,2014,Public expenditure on education (% of GDP),3.4
96,Brunei Darussalam,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.6
96,Brunei Darussalam,2016,All staff compensation as % of total expenditure in public institutions (%),66.2
96,Brunei Darussalam,2016,Capital expenditure as % of total expenditure in public institutions (%),3.2
96,Brunei Darussalam,2016,Basic access to computers by level of education: Lower secondary,100
96,Brunei Darussalam,2016,Basic access to computers by level of education: Upper secondary,100
96,Brunei Darussalam,2016,Public expenditure on education (% of GDP),4.4
96,Brunei Darussalam,2020,Basic access to computers by level of education: Lower secondary,100
96,Brunei Darussalam,2020,Basic access to computers by level of education: Upper secondary,100
